Efficiency,Efficiency Certification,Fans,Kind,Link,Manufacturer,Model,Modular,Name,Output,PCI-Express 6+2-Pin Connectors,PCI-Express 6-Pin Connectors,PCI-Express 8-Pin Connectors,Part #,Prices,Type,Wattage,avg,short_link,power,eff_rank,ppw
,80+ Gold,1,Power Supply,/product/vkL7YJ/fractal-design-power-supply-fdpsued1b750w,Fractal Design,,Semi,Fractal Design Edison M 750W 80+ Gold Certified Semi-Modular ATX Power Supply,,2,,,FD-PSU-ED1B-750W,[],ATX,750 Watts,0.0,fractal-design-power-supply-fdpsued1b750w,750.0,4.0,0.0
,,1,Power Supply,/product/mHg323/compucase-power-supply-hec200sa2fx,HEC,,No,HEC 200W Mini ITX Power Supply,"+3.3V@16.7A, +5V@13A, +12V1@9.5A, -12V@0.3A, +5VSB@2.0A",,,,HEC200SA2FX,[],Mini ITX,200 Watts,0.0,compucase-power-supply-hec200sa2fx,200.0,,0.0
,,2,Power Supply,/product/4Qbp99/sunbeam-power-supply-psubks580us,Sunbeam,,No,Sunbeam 580W ATX Power Supply,"+3.3V@30A, +5V@36A, +12V@25A, -12V@0.8A, +5VSB@2.0A",,,,PSU-BKS580-US,[],ATX,580 Watts,0.0,sunbeam-power-supply-psubks580us,580.0,,0.0
,,2,Power Supply,/product/gP4gXL/topower-power-supply-zu500w,Topower,,No,Topower 500W ATX Power Supply,"+3.3V@28A,+5V@46A,+12V1@20A,+12V2@20A,-12V@0.8A,-5V@0.5A,+5VSB@2.5A",,1,,ZU-500W,"[38.49, 42.99]",ATX12V,500 Watts,40.74,topower-power-supply-zu500w,500.0,,0.08148
87-92% efficiency @ 20-100% load,80+ Gold,1,Power Supply,/product/Kpbkcf/thermaltake-power-supply-pstr20450npcgusg,Thermaltake,,No,Thermaltake TR2 450W 80+ Gold Certified ATX Power Supply,,1,,,PS-TR2-0450NPCGUS-G,[64.99],ATX12V / EPS12V,450 Watts,64.99,thermaltake-power-supply-pstr20450npcgusg,450.0,4.0,0.144422222222
"Up to 90% efficiency at 115Vac, 50% load",80+ Gold,1,Power Supply,/product/cY3RsY/seasonic-power-supply-ssp650rt,SeaSonic,,No,SeaSonic 650W 80+ Gold Certified ATX Power Supply,"+3.3V@20A, +5V@20A, +12V1@54A, +12V2@54A, -12V@0.3A, +5VSB@2.5A",2,,,SSP-650RT,[109.99],ATX12V,650 Watts,109.99,seasonic-power-supply-ssp650rt,650.0,4.0,0.169215384615
&lt; 85%,80+ Bronze,1,Power Supply,/product/tYDwrH/inwin-power-supply-irpcom1200ii,Inwin,,Full,Inwin Commander II 1200W 80+ Bronze Certified Fully-Modular ATX Power Supply,"+3.3V@24A, +5V@30A, +12V1@40A, +12V2@40A, +12V3@40A, +12V4@40A, -12V@0.5A, +5VSB@3.0A",8,,,IRP-COM1200 II<br/>(or) Commander 1200W,[228.0],ATX12V / EPS12V,1200 Watts,228.0,inwin-power-supply-irpcom1200ii,1200.0,2.0,0.19
88%,80+ Silver,1,Power Supply,/product/Khfp99/cooler-master-power-supply-rsf00spm2d3us,Cooler Master,,Semi,Cooler Master Silent Pro M2 1500W 80+ Silver Certified Semi-Modular ATX Power Supply,"+3.3V@30A, +5V@30A, +12V1@70A, +12V2@55A, -12V@0.3A, +5VSB@3.5A",9,,3,RSF00-SPM2D3-US,[324.61],ATX12V,1500 Watts,324.61,cooler-master-power-supply-rsf00spm2d3us,1500.0,3.0,0.216406666667
,80+,1,Power Supply,/product/MvjWGX/antec-vp-630w-80-certified-atx-power-supply-vp630f,Antec,,No,Antec VP 630W 80+ Certified ATX Power Supply,,2,,,VP630F,[],ATX,630 Watts,0.0,antec-vp-630w-80-certified-atx-power-supply-vp630f,630.0,1.0,0.0
83%,80+,1,Power Supply,/product/Zg7wrH/fsp-group-power-supply-fsp27060le,FSP Group,,No,FSP Group 270W 80+ Certified Mini ITX Power Supply,,,,,FSP270-60LE,[49.99],Mini ITX,270 Watts,49.99,fsp-group-power-supply-fsp27060le,270.0,1.0,0.185148148148
