Cores,Data Width,Hyper-Threading,Includes CPU Cooler,Integrated Graphics,Kind,L1 Cache,L2 Cache,L3 Cache,Link,Lithography,Manufacturer,Max Turbo Frequency,Maximum Supported Memory,Model,Name,Operating Frequency,Part #,Prices,Socket,Thermal Design Power,TDP,opfreq,turbo,avg,cores,short_link
2,64-bit,No,Yes,Intel HD Graphics 510,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/YV7CmG/intel-cpu-bx80662g4400,14.0,Intel,,64GB,Pentium G4400,Intel Pentium G4400 3.3GHz Dual-Core Processor,3.3GHz,BX80662G4400,"[57.88, 57.99, 62.02, 64.99, 59.99]",LGA1151,54 Watts,54.0,3300.0,0.0,60.574,2,intel-cpu-bx80662g4400
2,64-bit,Yes,No,Intel HD Graphics 4400,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/vDrG3C/intel-cpu-cm8064601483644,22.0,Intel,,,Core i3-4160,Intel Core i3-4160 3.6GHz Dual-Core OEM/Tray Processor,3.6GHz,CM8064601483644,[107.99],LGA1150,54 Watts,54.0,3600.0,0.0,107.99,2,intel-cpu-cm8064601483644
4,64-bit,No,Yes,No,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 8MB,/product/CHFPxr/intel-cpu-bx80605i5750,45.0,Intel,,,Core i5-750,Intel Core i5-750 2.66GHz Quad-Core Processor,2.66GHz,BX80605I5750,[255.0],LGA1156,95 Watts,95.0,2660.0,0.0,255.0,4,intel-cpu-bx80605i5750
10,64-bit,Yes,No,No,CPU,10 x 32KB Instruction<br/>10 x 32KB Data,10 x 256KB,1 x 25MB,/product/YnYXsY/intel-cpu-bx80635e52690v2,22.0,Intel,3.6GHz,,Xeon E5-2690 V2,Intel Xeon E5-2690 V2 3.0GHz 10-Core Processor,3.0GHz,BX80635E52690V2,[1969.99],LGA2011,130 Watts,130.0,3000.0,3600.0,1969.99,10,intel-cpu-bx80635e52690v2
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/spCwrH/intel-cpu-bx80619i73970x,32.0,Intel,,,Core i7-3970X Extreme Edition,Intel Core i7-3970X Extreme Edition 3.5GHz 6-Core Processor,3.5GHz,BX80619I73970X,[1189.99],LGA2011,150 Watts,150.0,3500.0,0.0,1189.99,6,intel-cpu-bx80619i73970x
4,64-bit,No,Yes,Radeon R7 (on-die),CPU,2 x 96KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/3Ls8TW/amd-cpu-ad789kxdjchbx,28.0,AMD,4.3GHz,,A10-7890K,AMD A10-7890K 4.1GHz Quad-Core Processor,4.1GHz,AD789KXDJCHBX,"[148.99, 148.99, 148.99, 148.99, 148.99]",FM2+,95 Watts,95.0,4100.0,4300.0,148.99,4,amd-cpu-ad789kxdjchbx
2,64-bit,No,Yes,Intel HD Graphics 530,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/zzNypg/intel-cpu-bx80662g4520,14.0,Intel,,64GB,Pentium G4520,Intel Pentium G4520 3.6GHz Dual-Core Processor,3.6GHz,BX80662G4520,[90.91],LGA1151,51 Watts,51.0,3600.0,0.0,90.91,2,intel-cpu-bx80662g4520
4,64-bit,No,Yes,Radeon HD 8400,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,1 x 2MB,None,/product/62g323/amd-cpu-ad5150jahmbox,28.0,AMD,,,5150,AMD 5150 1.6GHz Quad-Core Processor,1.6GHz,AD5150JAHMBOX,[],AM1,25 Watts,25.0,1600.0,0.0,0.0,4,amd-cpu-ad5150jahmbox
4,64-bit,No,Yes,Radeon R7 (on-die),CPU,2 x 96KB Instruction<br/>4 x 16KB Data,2 x 2MB,None,/product/ZsYWGX/amd-cpu-ad765kxbjabox,28.0,AMD,3.7GHz,,A8-7650K,AMD A8-7650K 3.3GHz Quad-Core Processor,3.3GHz,AD765KXBJABOX,"[114.19, 119.88]",FM2+,95 Watts,95.0,3300.0,3700.0,117.035,4,amd-cpu-ad765kxbjabox
4,64-bit,No,Yes,Intel HD Graphics 4000,CPU,4 x 32KB Instruction<br/>4 x 32KB Data,4 x 256KB,1 x 6MB,/product/xvzv6h/intel-cpu-bx80646i54590s,22.0,Intel,3.7GHz,,Core i5-4590S,Intel Core i5-4590S 3.0GHz Quad-Core Processor,3.0GHz,BX80646I54590S,"[194.99, 209.57, 214.99]",LGA1150,65 Watts,65.0,3000.0,3700.0,206.516666667,4,intel-cpu-bx80646i54590s
4,64-bit,No,Yes,Radeon HD 7560D,CPU,2 x 64KB Instruction<br/>4 x 16KB Data,1 x 4MB,None,/product/wMsKHx/amd-cpu-ad560kwohjbox,32.0,AMD,,,A8-5600K,AMD A8-5600K 3.6GHz Quad-Core Processor,3.6GHz,AD560KWOHJBOX,[],FM2,100 Watts,100.0,3600.0,0.0,0.0,4,amd-cpu-ad560kwohjbox
22,64-bit,Yes,No,No,CPU,22 x 32KB Instruction<br/>22 x 32KB Data,22 x 256KB,1 x 55MB,/product/rd98TW/intel-cpu-cm8066002022506,14.0,Intel,3.6GHz,1.5TB,Xeon E5-2699 V4,Intel Xeon E5-2699 V4 2.2GHz 22-Core OEM/Tray Processor,2.2GHz,CM8066002022506,[3503.49],LGA2011-3,145 Watts,145.0,2200.0,3600.0,3503.49,22,intel-cpu-cm8066002022506
6,64-bit,Yes,No,No,CPU,6 x 32KB Instruction<br/>6 x 32KB Data,6 x 256KB,1 x 15MB,/product/BsL7YJ/intel-cpu-cm8067102056201,14.0,Intel,3.6GHz,,,Intel Core i7-6800K 3.4GHz 6-Core OEM/Tray Processor,3.4GHz,CM8067102056201,"[473.47, 545.99, 545.99]",LGA2011-3,140 Watts,140.0,3400.0,3600.0,521.816666667,6,intel-cpu-cm8067102056201
2,64-bit,No,Yes,Intel HD Graphics,CPU,2 x 32KB Instruction<br/>2 x 32KB Data,2 x 256KB,1 x 3MB,/product/RtPfrH/intel-cpu-bx80646g3220,22.0,Intel,,,Pentium G3220,Intel Pentium G3220 3.0GHz Dual-Core Processor,3.0GHz,BX80646G3220,[],LGA1150,54 Watts,54.0,3000.0,0.0,0.0,2,intel-cpu-bx80646g3220
2,64-bit,No,Yes,No,CPU,2 x 64KB Instruction<br/>2 x 64KB Data,2 x 1MB,None,/product/dhXfrH/amd-cpu-adx250ocgqbox,45.0,AMD,,,Athlon II X2 250,AMD Athlon II X2 250 3.0GHz Dual-Core Processor,3.0GHz,ADX250OCGQBOX,[79.99],AM3/AM2+,65 Watts,65.0,3000.0,0.0,79.99,2,amd-cpu-adx250ocgqbox
2,64-bit,No,No,Radeon HD 6410D,CPU,2 x 64KB Instruction<br/>2 x 64KB Data,2 x 512KB,None,/product/rcQypg/amd-cpu-ad3300ojz22hx,32.0,AMD,,,A4-3300,AMD A4-3300 2.5GHz Dual-Core OEM/Tray Processor,2.5GHz,AD3300OJZ22HX,[],FM1,65 Watts,65.0,2500.0,0.0,0.0,2,amd-cpu-ad3300ojz22hx
