CAS Latency,Color,ECC,Heat Spreader,Kind,Link,Manufacturer,Model,Name,Part #,Price/GB,Prices,Registered,Size,Speed,Timing,Type,Voltage,avg,short_link,CAS,ppgb,is_ddr4,ddr3_speed,ddr4_speed,ddr_speed,dimm,size_gb,mod_count,mod_size,voltage
9,Black/Silver,No,Yes,Memory,/product/tTK7YJ/corsair-memory-cmd16gx3m2a1866c10,Corsair,,Corsair Dominator Platinum 16GB (2 x 8GB) DDR3-1866 Memory,CMD16GX3M2A1866C10,$7.81,"[124.97, 136.38, 139.99]",No,16GB (2 x 8GB),DDR3-1866,9-9-9-24,240-pin DIMM,1.5V,133.78,corsair-memory-cmd16gx3m2a1866c10,9,7.81,False,1866.0,,1866,240,16.0,2.0,8.0,1.5
16,Blue,No,Yes,Memory,/product/rjcMnQ/gskill-memory-f43400c16q16grbd,G.Skill,,G.Skill Ripjaws 4 Series 16GB (4 x 4GB) DDR4-3400 Memory,F4-3400C16Q-16GRBD,$10.30,"[164.88, 170.38, 179.99]",No,16GB (4 x 4GB),DDR4-3400,,288-pin DIMM,1.35V,171.75,gskill-memory-f43400c16q16grbd,16,10.3,True,,3400.0,3400,288,16.0,4.0,4.0,1.35
9,Black/White,No,Yes,Memory,/product/KGTmP6/corsair-memory-cmx4gx3m1a1333c9,Corsair,,Corsair XMS3 4GB (1 x 4GB) DDR3-1333 Memory,CMX4GX3M1A1333C9,$7.75,"[29.99, 35.98, 39.99]",No,4GB (1 x 4GB),DDR3-1333,9-9-9-24,240-pin DIMM,1.5V,35.32,corsair-memory-cmx4gx3m1a1333c9,9,7.75,False,1333.0,,1333,240,4.0,1.0,4.0,1.5
15,Black/Green,Yes,No,Memory,/product/hgwqqs/kingston-memory-ktdpe421lq32g,Kingston,,Kingston 32GB (1 x 32GB) Registered DDR4-2133 Memory,KTD-PE421LQ/32G,$8.76,"[280.42, 360.67, 369.99, 404.99]",Yes,32GB (1 x 32GB),DDR4-2133,,288-pin DIMM,1.2V,354.0175,kingston-memory-ktdpe421lq32g,15,8.76,True,,2133.0,2133,288,32.0,1.0,32.0,1.2
16,Red/Silver,No,Yes,Memory,/product/Xn648d/patriot-viper-elite-32gb-2-x-16gb-ddr4-2800-memory-pve432g280c6krd,Patriot,,Patriot Viper Elite 32GB (2 x 16GB) DDR4-2800 Memory,PVE432G280C6KRD,$5.91,"[189.0, 236.01]",No,32GB (2 x 16GB),DDR4-2800,16-18-18-36,288-pin DIMM,1.2V,212.505,patriot-viper-elite-32gb-2-x-16gb-ddr4-2800-memory-pve432g280c6krd,16,5.91,True,,2800.0,2800,288,32.0,2.0,16.0,1.2
9,Blue/Silver,No,Yes,Memory,/product/nMJwrH/kingston-memory-hx313c9fk216,Kingston,,Kingston HyperX Fury Blue 16GB (2 x 8GB) DDR3-1333 Memory,HX313C9FK2/16,$7.18,[106.7],No,16GB (2 x 8GB),DDR3-1333,,240-pin DIMM,1.5V,106.7,kingston-memory-hx313c9fk216,9,7.18,False,1333.0,,1333,240,16.0,2.0,8.0,1.5
15,Black/Green,Yes,No,Memory,/product/W8Trxr/crucial-memory-ct8g4rfs4213,Crucial,,Crucial 8GB (1 x 8GB) Registered DDR4-2133 Memory,CT8G4RFS4213,$8.62,"[68.99, 69.0, 69.0]",Yes,8GB (1 x 8GB),DDR4-2133,,288-pin DIMM,1.2V,68.9966666667,crucial-memory-ct8g4rfs4213,15,8.62,True,,2133.0,2133,288,8.0,1.0,8.0,1.2
10,Black/Red,No,Yes,Memory,/product/HgX2FT/gskill-memory-f312800cl10q264gbz,G.Skill,,G.Skill Ripjaws Z Series 64GB (8 x 8GB) DDR3-1600 Memory,F3-12800CL10Q2-64GBZ,$5.78,[369.99],No,64GB (8 x 8GB),DDR3-1600,,240-pin DIMM,1.5V,369.99,gskill-memory-f312800cl10q264gbz,10,5.78,False,1600.0,,1600,240,64.0,8.0,8.0,1.5
15,Black/Green,Yes,No,Memory,/product/HL2rxr/kingston-memory-kcsuc421lq32g,Kingston,,Kingston 32GB (1 x 32GB) Registered DDR4-2133 Memory,KCS-UC421LQ/32G,$11.42,"[365.57, 404.99]",Yes,32GB (1 x 32GB),DDR4-2133,,288-pin DIMM,1.2V,385.28,kingston-memory-kcsuc421lq32g,15,11.42,True,,2133.0,2133,288,32.0,1.0,32.0,1.2
16,Red/Silver,No,Yes,Memory,/product/rDcMnQ/gskill-memory-f43200c16d8gtz,G.Skill,,G.Skill TridentZ Series 8GB (2 x 4GB) DDR4-3200 Memory,F4-3200C16D-8GTZ,$9.75,"[77.97, 80.99]",No,8GB (2 x 4GB),DDR4-3200,,288-pin DIMM,1.35V,79.48,gskill-memory-f43200c16d8gtz,16,9.75,True,,3200.0,3200,288,8.0,2.0,4.0,1.35
15,Black/Silver,No,Yes,Memory,/product/cNPzK8/corsair-memory-cmd64gx4m4b2800c14,Corsair,,Corsair Dominator Platinum 64GB (4 x 16GB) DDR4-2800 Memory,CMD64GX4M4B2800C14,$7.50,"[479.99, 492.55, 504.99, 592.39]",No,64GB (4 x 16GB),DDR4-2800,15-15-15-36,288-pin DIMM,1.35V,517.48,corsair-memory-cmd64gx4m4b2800c14,15,7.5,True,,2800.0,2800,288,64.0,4.0,16.0,1.35
