Cache,Capacity,Form Factor,GB/$1.00,Hybrid SSD Cache,Interface,Kind,Link,Manufacturer,Model,NAND Flash Type,Name,Part #,Power Loss Protection,Price/GB,Prices,RPM,SSD Controller,avg,short_link,storage_gb,rpm,is_ssd,ppgb,form_factor
N/A,360GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/CNcMnQ/intel-internal-hard-drive-ssdsc2kw360h6,Intel,,,"Intel 540s 360GB 2.5"" Solid State Drive",SSDSC2KW360H6,,,[],,,0.0,intel-internal-hard-drive-ssdsc2kw360h6,360.0,0.0,Yes,0.0,"2.5"""
16MB,500GB,"2.5""",8.18,,SATA 3 Gb/s,Storage,/product/bjfp99/hitachi-internal-hard-drive-0s02858,Hitachi,,,"Hitachi Travelstar 500GB 2.5"" 7200RPM Internal Hard Drive",0S02858,,$0.12,[52.99],7200,,52.99,hitachi-internal-hard-drive-0s02858,500.0,7200.0,No,0.12,"2.5"""
N/A,1TB,"2.5""",,,SATA 6 Gb/s,Storage,/product/swcMnQ/intel-internal-hard-drive-ssdsc2kw010x6,Intel,,,"Intel 540s 1TB 2.5"" Solid State Drive",SSDSC2KW010X6,,,[],,,0.0,intel-internal-hard-drive-ssdsc2kw010x6,1000.0,0.0,Yes,0.0,"2.5"""
N/A,64GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/M4zv6h/transcend-internal-hard-drive-ts64gssd720,Transcend,,MLC (toggle),"Transcend SSD720 64GB 2.5"" Solid State Drive",TS64GSSD720,,,[],,Sandforce SF-2281,0.0,transcend-internal-hard-drive-ts64gssd720,64.0,0.0,Yes,0.0,"2.5"""
N/A,128GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/cGQypg/transcend-internal-hard-drive-ts128gssd720,Transcend,,MLC (toggle),"Transcend SSD720 128GB 2.5"" Solid State Drive",TS128GSSD720,,,[],,Sandforce SF-2281,0.0,transcend-internal-hard-drive-ts128gssd720,128.0,0.0,Yes,0.0,"2.5"""
N/A,256GB,"2.5""",,,SATA 6 Gb/s,Storage,/product/stZQzy/transcend-internal-hard-drive-ts256gssd720,Transcend,,MLC (toggle),"Transcend SSD720 256GB 2.5"" Solid State Drive",TS256GSSD720,,,[],,Sandforce SF-2281,0.0,transcend-internal-hard-drive-ts256gssd720,256.0,0.0,Yes,0.0,"2.5"""
16MB,160GB,"3.5""",,,SATA 3 Gb/s,Storage,/product/zX8Zxr/toshiba-internal-hard-drive-mk1661gsyb,Toshiba,,,"Toshiba 160GB 3.5"" 7200RPM Internal Hard Drive",MK1661GSYB,,,[],7200,,0.0,toshiba-internal-hard-drive-mk1661gsyb,160.0,7200.0,No,0.0,"3.5"""
8MB,250GB,"2.5""",5.00,,SATA 3 Gb/s,Storage,/product/dw4gXL/seagate-internal-hard-drive-st90250n1a1asrk,Seagate,,,"Seagate 250GB 2.5"" 5400RPM Internal Hard Drive",ST90250N1A1AS-RK,,$0.20,[42.75],5400,,42.75,seagate-internal-hard-drive-st90250n1a1asrk,250.0,5400.0,No,0.2,"2.5"""
N/A,256GB,mSATA,,,mSATA,Storage,/product/vDYXsY/a-data-internal-hard-drive-asx300s3256gmc,ADATA,,MLC (synchronous),ADATA XPG SX300 256GB mSATA Solid State Drive,ASX300S3-256GM-C,,,[],,Sandforce SF-2281,0.0,a-data-internal-hard-drive-asx300s3256gmc,256.0,0.0,Yes,0.0,mSATA
N/A,120GB,"3.5""",,,SATA 6 Gb/s,Storage,/product/Vfw323/ocz-internal-hard-drive-vtx335sat3120g,OCZ,,MLC (synchronous),"OCZ Vertex 3 120GB 3.5"" Solid State Drive",VTX3-35SAT3-120G,,,[],,Sandforce SF-2281,0.0,ocz-internal-hard-drive-vtx335sat3120g,120.0,0.0,Yes,0.0,"3.5"""
