Color,Dimensions,"External 2.5"" Bays","External 3.5"" Bays","External 5.25"" Bays","External 5.25"" Slim Bays","External 5.25"" Slim Slot Load Bays",Front Panel USB 3.0 Ports,Includes Power Supply,"Internal 2.5"" Bays","Internal 3.5"" Bays","Internal 5.25"" Bays","Internal 5.25"" Slim Slot Load Bays",Kind,Link,Manufacturer,Maximum Video Card Length,Model,Motherboard Compatibility,Name,Part #,Prices,Type,link,dim,vol,avg,short_link
Black,"8.43"" x 19.21"" x 19.21""",,,4,,,Yes,No,6,9,,,Case,/product/tcw323/silverstone-case-ssttj04bew,Silverstone,"12.80"" (325mm) With Drive Cages<br/>16.97"" (431mm) Without Drive Cages",TJ04B-EW,"ATX, Micro ATX, Mini ITX, SSI CEB",Silverstone TJ04B-EW ATX Mid Tower Case,SST-TJ04B-EW<br/>(or) TJ04B-EW,"[146.53, 158.99, 193.76]",ATX Mid Tower,silverstone-case-ssttj04bew,"[8.43, 19.21, 19.21]",3110.873163,166.426666667,silverstone-case-ssttj04bew
Silver,,,,1,,,Yes,No,1,2,,,Case,/product/TRLypg/silverstone-case-gd04susb30,Silverstone,"11.02""",,"Micro ATX, Mini DTX, Mini ITX, Thin Mini ITX",Silverstone GD04S-USB3.0 HTPC Case,GD04S-USB3.0<br/>(or) SST-GD04S-USB3.0,[114.99],HTPC,silverstone-case-gd04susb30,,0.0,114.99,silverstone-case-gd04susb30
White,"15.43"" x 10.63"" x 8.35""",,,2,,,Yes,No,,2,,,Case,/product/YNrG3C/silverstone-case-sg02wfusb30,Silverstone,"14.49""",,"Micro ATX, Mini ITX",Silverstone SG02W-F-USB3.0 MicroATX Desktop Case,SG02W-F-USB3.0<br/>(or) SST-SG02W-F-USB3.0,"[79.99, 91.99]",MicroATX Desktop,silverstone-case-sg02wfusb30,"[15.43, 10.63, 8.35]",1369.574515,85.99,silverstone-case-sg02wfusb30
Silver,"13.35"" x 8.66"" x 11.42""",,,1,,,Yes,No,2,4,,,Case,/product/ZPrG3C/lian-li-case-pctu200a,Lian-Li,"11.81""",,"Mini ITX, Thin Mini ITX",Lian-Li PC-TU200A Mini ITX Tower Case,PC-TU200A,[],Mini ITX Tower,lian-li-case-pctu200a,"[13.35, 8.66, 11.42]",1320.27762,0.0,lian-li-case-pctu200a
Black,,,,,,,Yes,No,,4,,,Case,/product/p2VBD3/lian-li-case-pcv33wx,Lian-Li,"12.99""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-V33WX ATX Mid Tower Case,PC-V33WX,[199.99],ATX Mid Tower,lian-li-case-pcv33wx,,0.0,199.99,lian-li-case-pcv33wx
Black,"18.19"" x 8.07"" x 16.69""",,2,3,,,Yes,No,,4,,,Case,/product/hTh9TW/antec-case-sonataproto,Antec,"10.51""",,"ATX, Micro ATX, Mini ITX, Thin Mini ITX",Antec Sonata Proto ATX Mid Tower Case,Sonata Proto,"[64.98, 64.99, 78.42, 59.99, 87.99]",ATX Mid Tower,antec-case-sonataproto,"[18.19, 8.07, 16.69]",2449.980177,71.274,antec-case-sonataproto
Black,"14.57"" x 7.09"" x 14.29""",,2,2,,,No,350 Watts,,1,,,Case,/product/vJ9KHx/inwin-case-z589tcq350tbl,Inwin,,,"Micro ATX, Mini ITX",Inwin Z589T.CQ350TBL MicroATX Mini Tower Case w/350W Power Supply,Z589T.CQ350TBL,[64.99],MicroATX Mini Tower,inwin-case-z589tcq350tbl,"[14.57, 7.09, 14.29]",1476.175577,64.99,inwin-case-z589tcq350tbl
Black,"19.69"" x 8.27"" x 18.90""",,1,3,,,Yes,No,1,5,,,Case,/product/LKmLrH/thermaltake-case-vm20001w2z,Thermaltake,"12.01""",,"ATX, Micro ATX, Mini ITX",Thermaltake VM20001W2Z ATX Mid Tower Case,VM20001W2Z,[],ATX Mid Tower,thermaltake-case-vm20001w2z,"[19.69, 8.27, 18.90]",3077.60607,0.0,thermaltake-case-vm20001w2z
Black/Silver,"14.29"" x 7.09"" x 14.57""",,2,2,,,Yes,350 Watts,,1,,,Case,/product/3WkD4D/inwin-case-z583tcq350tb3l,Inwin,,Z583T.CQ350TB3L (Silver/Black),"Micro ATX, Mini ITX",Inwin Z583T.CQ350TB3L (Silver/Black) MicroATX Mini Tower Case w/350W Power Supply,Z583T.CQ350TB3L,[69.99],MicroATX Mini Tower,inwin-case-z583tcq350tb3l,"[14.29, 7.09, 14.57]",1476.175577,69.99,inwin-case-z583tcq350tb3l
Black,,,,3,,,Yes,No,1,4,,,Case,/product/x6kD4D/lian-li-case-pc7hwx,Lian-Li,"15.75""",,"ATX, Micro ATX, Mini ITX",Lian-Li PC-7HWX ATX Mid Tower Case,PC-7HWX,[148.58],ATX Mid Tower,lian-li-case-pc7hwx,,0.0,148.58,lian-li-case-pc7hwx
